Expiry,Strike,Price
1,20.04713,1.2789902913986584
1,22.3768,0.44881956378991195
1,17.55858,2.7847820366951606
1,24.7766,0.14461335304292988
1,15.06225,4.839550232393094
2,20.67213,1.8141372325854084
2,24.18163,0.6319665427727106
2,17.01725,3.8568876376238865
2,28.09497,0.2054598752987722
2,13.59941,6.555572988353903
5,22.97267,2.826321062021961
5,29.18725,0.9715114600806638
5,16.58138,5.684784324404548
5,37.36397,0.3190116632889697
5,11.58363,9.190102603148675
7,24.56706,3.2136085009466564
7,32.91792,1.1429418921816388
7,16.71429,6.407908317421764
7,43.27121,0.36724170524568733
7,11.05298,10.07041579681704
10,27.28129,3.6728619097060244
10,38.60047,1.3298454426944368
10,17.20368,7.174928282025095
10,52.73008,0.4245424446875994
10,10.6302,10.993144601951123
20,39.28947,4.652332008646535
20,60.54974,1.7119980583384766
20,20.16486,8.622038699062259
20,92.51315,0.5538013197839642
20,10.62089,12.665216379620258
30,58.09824,5.271098125758958
30,92.05551,1.9638619480478874
30,24.69668,9.439806172625513
30,151.1097,0.6398564229398411
30,11.62415,13.525654930441725
